162,室,9,room,shitsu,muro
163,戸,4,door,ko,to or be
164,家,10,house,ka or ke,ie
165,寺,6,Buddhist temple,ji,tera
166,通,10,pass through,tsū,tō-ru
167,門,8,gates,mon,kado
168,道,12,road,dō,michi
169,話,13,talk,wa,"hanashi, hana-su"
170,言,7,say,"gen,gon","i-u,koto"
171,答,12,answer,tō,kota-eru
172,声,7,voice,sei,koe
173,聞,14,hear,bun or mon,ki-ku
174,語,14,language,go,kata-ru
175,読,14,read,doku,yo-mu
176,書,10,write,sho,ka-ku
177,記,10,record,ki,shiru-su
178,紙,10,paper,shi,kami
179,画,8,brush stroke,ga or kaku,
180,絵,12,picture,kai,e
181,図,7,drawing,zu,haka-ru
182,工,3,craft,kō or ku,
183,教,11,teach,kyō,oshi-eru
184,晴,12,clear,sei,hare
185,思,9,think,shi,omo-u
186,考,6,consider,kō,kanga-eru
187,知,8,know,chi,shi-ru
188,才,3,ability,"sai,zai","wazukani,zae"
189,理,11,reason,ri,kotowari
190,算,14,calculate,san,
191,作,7,make,saku,tsuku-ru
192,元,4,origin,gen or gan,moto
193,食,9,eat,shoku,"ta-beru,ku-u"
194,肉,6,meat,niku,
195,馬,10,horse,ba,uma or ma
196,牛,4,cow,gyū,ushi
197,魚,11,fish,gyo,uo or sakana
198,鳥,11,bird,chō,tori
199,羽,6,feather,u,ha or hane
200,鳴,14,chirp,mei,na-ku
201,麦,7,wheat,baku,mugi
202,米,6,rice,bei or mai,kome
203,茶,9,tea,cha or sa,
204,色,6,colour,shoku,iro
205,黄,11,yellow,ō,ki
206,黒,11,black,koku,kuro
207,来,7,come,rai,ku-ru
208,行,6,go,kō or gyō,"i-ku,yu-ku,okonau"
209,帰,10,return,ki,kae-ru
210,歩,8,walk,ho,"aru-ku,ayu-mu"
211,走,7,run,sō,hashi-ru
212,止,4,stop,shi,to-maru
213,活,9,active,katsu,i-kiru
214,店,8,store,ten,mise
215,買,12,buy,bai,ka-u
216,売,7,sell,bai,u-ru
217,午,4,noon,go,uma
218,汽,7,steam,ki,
219,弓,3,bow,kyū,yumi
220,回,6,-times,kai,
221,会,6,meeting,kai or e,a-u
222,組,11,team,so,kumi
223,船,11,ship,sen,fune
224,明,8,bright,mei,aka-rui
225,社,7,company,sha,yashiro
226,切,4,cut,setsu,ki-ru
227,電,13,electricity,den,
228,毎,6,every,mai,
229,合,6,fit,gō,a-u
230,当,6,this; hit,tō,a-taru
231,台,5,pedestal,dai or tai,
232,楽,13,pleasure,raku,tano-shii
233,公,4,public,kou,ōyake
234,引,4,pull,in,hi-ku
235,科,9,section,ka,
236,歌,14,song,ka,uta
237,刀,2,sword,tō,katana
238,番,12,number,ban,
239,用,5,use,yō,mochi-iru
240,何,7,what,ka,nani or nan
241,丁,2,pair,chō,hinoto
242,世,5,generation,sei or se,yo
243,両,6,both,ryō,"teru, futatsu"
244,主,5,master,shu,nushi or omo
245,乗,9,ride,jō,no-ru
246,予,4,beforehand,yo,arakaji-me
247,事,8,abstract thing,ji,koto
248,仕,5,serve,shi,tsuka-eru
249,他,5,other,ta,hoka
250,代,5,substitute,dai or tai,ka-waru or yo
251,住,7,dwell,jū,su-mu
252,使,8,use,shi,tsuka-u
253,係,9,leader,kei,kakari or kaka-ru
254,倍,10,double,bai,
255,全,6,whole,zen,matta-ku
256,具,8,tool,gu,sona-eru or tsubusa-ni
257,写,5,copy,sha,utsu-su
258,列,6,row,retsu,
259,助,7,help,jo,tasu-keru
260,勉,10,diligence,ben,tsuto-meru
261,動,11,move,dō,ugo-ku
262,勝,12,win,shō,ka-tsu
